REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
SA1,2021/01/01 00:30:00,1221.72,35.72,TRADE
SA1,2021/01/01 01:00:00,1185.68,34.56,TRADE
SA1,2021/01/01 01:30:00,1113.09,24.71,TRADE
SA1,2021/01/01 02:00:00,1065.54,14.23,TRADE
SA1,2021/01/01 02:30:00,1057.82,8.49,TRADE
SA1,2021/01/01 03:00:00,1053.52,8.18,TRADE
SA1,2021/01/01 03:30:00,1048.89,8.44,TRADE
SA1,2021/01/01 04:00:00,1017.37,8.55,TRADE
SA1,2021/01/01 04:30:00,1028.13,8.67,TRADE
SA1,2021/01/01 05:00:00,1033.26,8.94,TRADE
SA1,2021/01/01 05:30:00,1038.38,8.93,TRADE
SA1,2021/01/01 06:00:00,1031.01,10.21,TRADE
SA1,2021/01/01 06:30:00,1014.65,8.80,TRADE
SA1,2021/01/01 07:00:00,996,5.02,TRADE
SA1,2021/01/01 07:30:00,931.01,8.49,TRADE
SA1,2021/01/01 08:00:00,874.45,0,TRADE
SA1,2021/01/01 08:30:00,784.8,0,TRADE
SA1,2021/01/01 09:00:00,741.38,10.75,TRADE
SA1,2021/01/01 09:30:00,702.82,5.75,TRADE
SA1,2021/01/01 10:00:00,646.85,12.19,TRADE
SA1,2021/01/01 10:30:00,559.8,1.57,TRADE
SA1,2021/01/01 11:00:00,570.26,0,TRADE
SA1,2021/01/01 11:30:00,524.01,-6.95,TRADE
SA1,2021/01/01 12:00:00,480.41,-7.54,TRADE
SA1,2021/01/01 12:30:00,502.24,5.97,TRADE
SA1,2021/01/01 13:00:00,537.45,3.78,TRADE
SA1,2021/01/01 13:30:00,593.7,12.41,TRADE
SA1,2021/01/01 14:00:00,690.73,25.12,TRADE
SA1,2021/01/01 14:30:00,847.79,28.86,TRADE
SA1,2021/01/01 15:00:00,751.93,28.80,TRADE
SA1,2021/01/01 15:30:00,771.22,28.93,TRADE
SA1,2021/01/01 16:00:00,948.05,32,TRADE
SA1,2021/01/01 16:30:00,1082.75,26.06,TRADE
SA1,2021/01/01 17:00:00,1255.46,31.36,TRADE
SA1,2021/01/01 17:30:00,1209.13,30.50,TRADE
SA1,2021/01/01 18:00:00,1296.55,31.52,TRADE
SA1,2021/01/01 18:30:00,1416.35,32.32,TRADE
SA1,2021/01/01 19:00:00,1479.79,33.04,TRADE
