Date ,Time,PV gen (kW),Load (kW),temp (C),residual
1/1/15,0:00:00,0,0.468530464,23.724,0.468530464
1/1/15,1:00:00,0,0.421974102,23.117,0.421974102
1/1/15,2:00:00,0,0.431843871,22.713,0.431843871
1/1/15,3:00:00,0,0.408764035,22.197,0.408764035
1/1/15,4:00:00,0,0.388010428,21.737,0.388010428
1/1/15,5:00:00,0,0.409568585,21.364,0.409568585
1/1/15,6:00:00,0.168,0.428185119,22.403,0.260185119
1/1/15,7:00:00,0.553,0.387317161,24.156,-0.165682839
1/1/15,8:00:00,1.044,0.347192089,26.256,-0.696807911
1/1/15,9:00:00,1.517,0.319467343,28.193,-1.197532657
1/1/15,10:00:00,1.747,0.284743224,28.849,-1.462256776
1/1/15,11:00:00,1.955,0.250822195,30.592,-1.704177805
1/1/15,12:00:00,1.888,0.333340815,31.525,-1.554659185
1/1/15,13:00:00,1.842,0.433241729,32.1,-1.408758271
1/1/15,14:00:00,1.927,0.552029498,32.906,-1.374970502
1/1/15,15:00:00,1.822,0.714870343,33.414,-1.107129657
1/1/15,16:00:00,1.424,0.921596028,33.241,-0.502403972
1/1/15,17:00:00,0.869,1.13581862,32.565,0.26681862
1/1/15,18:00:00,0.339,1.266012471,31.617,0.927012471
1/1/15,19:00:00,0.059,1.250746634,29.637,1.191746634
1/1/15,20:00:00,0,1.138175761,28.21,1.138175761
1/1/15,21:00:00,0,0.973577541,26.475,0.973577541
1/1/15,22:00:00,0,0.759513186,24.907,0.759513186
1/1/15,23:00:00,0,0.607853042,24.361,0.607853042
1/2/15,0:00:00,0,0.62371243,24.272,0.62371243
1/2/15,1:00:00,0,0.50640114,24.069,0.50640114
1/2/15,2:00:00,0,0.547897295,23.807,0.547897295
1/2/15,3:00:00,0,0.524812808,23.517,0.524812808
1/2/15,4:00:00,0,0.530773366,23.357,0.530773366
1/2/15,5:00:00,0,0.537902941,23.366,0.537902941
1/2/15,6:00:00,0.147,0.601450782,25.099,0.454450782
1/2/15,7:00:00,0.567,0.650462338,28.017,0.083462338
1/2/15,8:00:00,1.139,0.741114472,31.831,-0.397885528
1/2/15,9:00:00,1.651,0.819179639,35.198,-0.831820361
1/2/15,10:00:00,2.029,0.91103979,36.754,-1.11796021
1/2/15,11:00:00,2.208,1.032085091,37.741,-1.175914909
1/2/15,12:00:00,2.191,1.173078521,38.303,-1.017921479
1/2/15,13:00:00,2.004,1.262160594,38.483,-0.741839406
1/2/15,14:00:00,1.797,1.41752405,38.534,-0.37947595
1/2/15,15:00:00,1.493,1.570262736,38.367,0.077262736
1/2/15,16:00:00,1.321,1.749867143,38.502,0.428867143
1/2/15,17:00:00,0.804,1.927410372,37.918,1.123410372
1/2/15,18:00:00,0.332,2.012718373,36.378,1.680718373
1/2/15,19:00:00,0.054,1.890484904,33.534,1.836484904
1/2/15,20:00:00,0,1.711618123,33.06,1.711618123
1/2/15,21:00:00,0,1.474458848,32.032,1.474458848
1/2/15,22:00:00,0,1.189625698,28.811,1.189625698
1/2/15,23:00:00,0,0.943307157,25.993,0.943307157
1/3/15,0:00:00,0,0.894392933,24.541,0.894392933
1/3/15,1:00:00,0,0.757979572,23.969,0.757979572
1/3/15,2:00:00,0,0.749776153,24.014,0.749776153
1/3/15,3:00:00,0,0.669680411,24.363,0.669680411
1/3/15,4:00:00,0,0.682670934,24.69,0.682670934
1/3/15,5:00:00,0,0.66048531,25.199,0.66048531
1/3/15,6:00:00,0.164,0.698400845,27.107,0.534400845
1/3/15,7:00:00,0.549,0.768452081,29.732,0.219452081
1/3/15,8:00:00,1.069,0.854513324,32.678,-0.214486676
1/3/15,9:00:00,1.493,0.951212742,34.89,-0.541787258
1/3/15,10:00:00,1.844,1.07131787,36.205,-0.77268213
1/3/15,11:00:00,2.038,1.180177793,37.125,-0.857822207
1/3/15,12:00:00,1.934,1.250063477,36.979,-0.683936523
1/3/15,13:00:00,1.683,1.286634402,35.552,-0.396365598
1/3/15,14:00:00,1.524,1.339798582,33.213,-0.184201418
1/3/15,15:00:00,1.249,1.248448973,30.39,-0.000551027
1/3/15,16:00:00,0.941,1.121506749,27.935,0.180506749
1/3/15,17:00:00,0.592,1.102901766,26.229,0.510901766
1/3/15,18:00:00,0.207,1.10535569,25.147,0.89835569
1/3/15,19:00:00,0.013,1.056098476,24.371,1.043098476
1/3/15,20:00:00,0,1.001758534,23.666,1.001758534
1/3/15,21:00:00,0,0.886050526,22.936,0.886050526
1/3/15,22:00:00,0,0.722925954,22.243,0.722925954
1/3/15,23:00:00,0,0.553805616,21.594,0.553805616
1/4/15,0:00:00,0,0.569686389,20.861,0.569686389
1/4/15,1:00:00,0,0.441670814,20.073,0.441670814
1/4/15,2:00:00,0,0.494545844,19.306,0.494545844
1/4/15,3:00:00,0,0.485341481,18.658,0.485341481
1/4/15,4:00:00,0,0.481046614,18.154,0.481046614
1/4/15,5:00:00,0,0.493281607,17.687,0.493281607
1/4/15,6:00:00,0.182,0.490148306,17.832,0.308148306
1/4/15,7:00:00,0.602,0.469055761,18.893,-0.132944239
1/4/15,8:00:00,1.191,0.399509241,20.574,-0.791490759
1/4/15,9:00:00,1.703,0.332178452,22.542,-1.370821548
1/4/15,10:00:00,2.06,0.277285999,24.553,-1.782714001
1/4/15,11:00:00,2.283,0.25860545,26.377,-2.02439455
1/4/15,12:00:00,2.315,0.303919428,27.829,-2.011080572
1/4/15,13:00:00,2.301,0.363453867,29.048,-1.937546133
1/4/15,14:00:00,1.998,0.47670843,29.58,-1.52129157
1/4/15,15:00:00,1.631,0.623480923,29.568,-1.007519077
1/4/15,16:00:00,1.241,0.7979669,29.024,-0.4430331
1/4/15,17:00:00,0.797,0.960278169,27.863,0.163278169
